name,image,ingredients,calories,fat,carbs,protein
Sack Lunch: Zucchini and Chicken Salad Recipe,https://www.edamam.com/web-img/514/514c7fcbd2c523a63aa0c11cc808fbc1.jpg,Pecan|Parmigiano-Reggiano|Black pepper|Olive|Sandwich|Lemon|Salt|Onion|Red onion|Pita|Whole grain|Wheat|Juice|Chicken as food|Mentha|Zucchini|Leaf vegetable|Spinach|Olive oil,634.5966277941938,38.43582222085288,40.57341736108094,38.2952733892512
Spinach And Feta Pita Bake,https://www.edamam.com/web-img/a3d/a3d0f1647afac95ffe5bc2d4ee1dcfda.jpg,Bread|Pita|Wheat|Whole grain|Spinach|Tomato|Sun-dried tomato|Mushroom|Feta|Cheese|Olive oil|Olive|Parmigiano-Reggiano|Plum|Pesto|Black pepper,314.435968854244,16.855732895834336,32.538347718769685,10.622347989586533
Spinach and Feta Pita Bake,https://www.edamam.com/web-img/467/46710881b10113b8db2173a938f4a906.jpg,Whole grain|Wheat|Pita|Bread|Sun-dried tomato|Tomato|Spinach|Cheese|Parmigiano-Reggiano|Feta|Mushroom|Olive oil|Olive|Black pepper|Plum|Pesto,312.408568854244,16.83320622916767,32.10020405210302,10.5232306562532
Spinach and Feta Pita Bake,https://www.edamam.com/web-img/8ac/8ac487fb202fbd8fd7202c164c460cc4.jpg,Mushroom|Sun-dried tomato|Plum|Tomato|Spinach|Olive oil|Olive|Cheese|Feta|Parmigiano-Reggiano|Whole grain|Wheat|Pita|Bread|Black pepper|Pesto,315.7889096466313,16.873304955528294,32.883051159698645,10.678352192108065
Summer Rolls,https://www.edamam.com/web-img/2cd/2cd56a9170dd035c59e5704a3eb2426a.jpg,Sesame|Ginger|Coriander|Basil|Tofu|Mentha|Rice paper|Rice|Lettuce|Scallion|Beef|Honey|Chicken as food|Noodle|Rice noodles,225.79295285624997,0.4274804402916667,52.01972161176042,2.998243011432292
"Grilled, Bacon-Wrapped Shrimp With Arugula and Red Onion Relish Recipe",https://www.edamam.com/web-img/9a6/9a604ef348c94df474e7e209987b6038.jpg,Juice|Chili pepper|Oil|Vegetable oil|Vegetable|Chili powder|Lime (fruit)|Maize|Corn tortilla|Tortilla|Water|Onion|Red onion|Sugar|Garlic|Glaze (cooking technique)|Clove|Poblano|Skewer|Coriander|Parsley|Orange juice|Vinegar|Bacon|Relish|Salt|Kosher salt|Honey|Eruca sativa|Serrano pepper,594.8857830705273,32.17216667109349,43.93066201357117,32.344017451092725
Spicy Lime Dipping Sauce,https://www.edamam.com/web-img/0b4/0b4ab62fbdde12bdb52a70449a54a70a.jpg,Scallion|Water|Chili pepper|Honey|Clove|Garlic|Salt|Juice|Lime (fruit),54.52166666816598,0.09200000000065094,15.829983333736807,0.659600000004007
Grilled Shrimp with Papaya Mustard,https://www.edamam.com/web-img/9b4/9b42ded397ec5c1d8af4dacb86dd7f31.jpg,Lime (fruit)|Vinegar|Coriander|Mustard seed|Black pepper|Cayenne pepper|Mustard (condiment)|Honey|Papaya|Rice|Salt|Olive|Olive oil|Juice|Plum|Oil|Wine,320.40226966246746,9.290990060749909,56.20220916273904,8.110629052124454
Grilled Shrimp and Melon Salad,https://www.edamam.com/web-img/429/42908075adc6630485a085e2c63c3136.JPG,Olive|Scallion|Lime (fruit)|Honey|Mentha|Ginger|Melon|Sea salt|Salt|Black pepper|Zest (ingredient)|Juice|Cucumber|Olive oil|Oil,356.1647550128341,15.669769604532451,39.350105419260146,20.01791999614727
Horseradish and Garlic Prime Rib,https://www.edamam.com/web-img/b0b/b0b9b55aefc2decdb385df64c8fe77a2.jpeg,Black pepper|Red onion|Thyme|Oil|Parsnip|Mushroom|Olive|Butter|Clove|Oyster|Beef|Broth|Garlic|Olive oil|Onion|Cream|Agaricus bisporus|Chives|Chanterelle|Shiitake|Horseradish|Carrot|Cabernet Sauvignon|Sea salt|Salt,799.5992029991884,53.052933830493565,26.897557510793952,51.10693956029809
Prime Rib recipes,https://www.edamam.com/web-img/909/909d4f1afc62c7e01528b8b3501c32df,Kosher salt|Salt|Garlic|Clove|Fat|Black pepper|Rosemary,34.444040750000745,2.6519590950000094,0.841304087500189,1.818249017500031
Prime Rib,https://www.edamam.com/web-img/45a/45abbfc2f8c2e11be58e3ece124515b1.jpg,Kosher salt|Salt|Rosemary|Thyme|Garlic|Olive oil|Black pepper|Olive,504.20133333333325,40.000663333333335,3.786375,33.232745
