name,image,ingredients,calories,fat,carbs,protein
Vegan Lasagna II,https://www.edamam.com/web-img/dac/dacb8ef157fe850ed2be0609052702ea.jpg,Salt|Tomato|Tomato purée|Garlic salt|Clove|Garlic|Mushroom|Lasagne|Noodle|Oil|Spinach|Tofu|Seasoning|Vegetable|Vegetable oil,575.5776870597223,11.534097036006946,95.02653461378645,28.09047617736805
Chicken Cordon Bleu II,https://www.edamam.com/web-img/f82/f8252eafae423f3680a4695e994e8889.jpg,Swiss cheese|Cheese|Butter|Corn starch|Chicken as food|Broth|Ham|Paprika|White wine|Wine|Flour|Cream,910.2776666665808,60.97058499999999,10.203671666646093,76.70502333333326
Chicken Cordon Bleu II,https://www.edamam.com/web-img/faa/faafdd7ec506cc4b9b165f414ac69115.jpg,Water|Butter|Cooking oil|Bread crumbs|Ham|Chicken as food|Egg as food|Cheese|Swiss cheese|Flour,610.4651878750001,31.364152428750003,35.18710184412501,44.48483907756251
Healthier Chicken Cordon Bleu II,https://www.edamam.com/web-img/d93/d93d1286bba3b04493b9af35cd25ea51.jpg,Chicken as food|Butter|Cheese|Swiss cheese|Flour|Paprika|Corn starch|Juice|Ham|Lemon|Broth,654.9609999999142,33.62011833333332,9.103671666646092,75.23537333333327
Creamy Cajun Chicken Pasta,https://www.edamam.com/web-img/9f0/9f01fe55283cc9d04c78173846e571df.JPG,Fusilli|Bell pepper|Black pepper|Garnish (food)|Scallion|Onion|Flour|Clove|Chicken as food|Tomato|Canola oil|Garlic|Bacon|Seasoning|Rotini|Cream|Sour cream,394.0307640361111,11.08589251675,47.31246743481946,27.29574474327778
Creamy Cajun Chicken Pasta,https://www.edamam.com/web-img/89f/89fc7b29736d25ba88be3818203c235e.jpg,Oil|Canola oil|Bell pepper|Black pepper|Tomato|Bean|Seasoning|Capsicum|Sour cream|Cream|Bacon|Garnish (food)|Scallion|Phaseolus vulgaris|Clove|Onion|Rotini|Fusilli|Whole grain|Garlic|Flour|Chicken as food,284.40560712708333,8.262276560937499,32.961226625770834,19.856723430083335
Bayou Pasta with Chicken,https://www.edamam.com/web-img/f6a/f6a92d1206a9d62030d9d97c67ff3c56.jpg,Butter|Oil|Vegetable|Vegetable oil|Flour|Chicken as food|Salt|Parmigiano-Reggiano|Spice|Black pepper|Cayenne pepper|Tomato,737.2479601632316,29.426816393085023,71.23322246061998,45.01441454100649
Cajun Shrimp and Andouille Alfredo Sauce Over Pasta,https://www.edamam.com/web-img/de2/de29427cfa4039d17ff751fb04156bfa.jpg,Onion|Scallion|Bell pepper|Margarine|Chicken as food|Broth|Celery|Andouille|Clove|Garlic|Fettuccine|Parsley|Butter|Flour|Cream|Seasoning|Cheese|Black pepper|Parmigiano-Reggiano,931.8360434805559,62.241705967166666,57.14056947754862,36.006385671972225
Creamy Cajun Chicken Pasta,https://www.edamam.com/web-img/b58/b5861e77948ba60913f0bbfdc29b0afa.jpg,Tomato|Sun-dried tomato|Seasoning|Black pepper|Cream|Basil|Linguine|Parmigiano-Reggiano|Cheese|Chicken as food|Butter|Onion|Scallion|Salt|Garlic powder|Garlic,1150.8559615873528,71.3857624733733,50.49139658484319,78.58836438099195
Little Lamb Meatballs in a Spicy Eggplant Tomato Sauce,https://www.edamam.com/web-img/517/517f68516e1c66b88391e7772d7b47ba.jpg,Olive|Capsicum|Black pepper|Bread crumbs|Bread|Broth|Egg as food|Yogurt|Strained yogurt|Garlic|Clove|Crushed red pepper|Olive oil|Oil|Salt|Cumin|Cinnamon|Kosher salt|Coriander|Onion|Eggplant|Chicken as food|Mentha|Lamb and mutton|Cayenne pepper|Marinara sauce,551.377922772984,37.77125188759234,26.492407143326016,27.086202721505195
"Ham, Pineapple and Jack Cheese Pizza",https://www.edamam.com/web-img/cc3/cc3c70d40fdcb6b818fc30d8bdcb6642.jpg,Pizza|Monterey Jack|Olive|Dough|Scallion|Ham|Olive oil|Juice|Oil,482.9484256583334,20.322470250833337,52.591788946666675,22.758029509583338
