name,image,ingredients,calories,fat,carbs,protein
Turkey Pot Pie for Another Day,https://www.edamam.com/web-img/374/374afc2a8950d1f52b78c78f07c6b727.jpg,Parsley|Puff pastry|Pastry|Chicken as food|Thyme|Egg as food|Shallot|Zest (ingredient)|Broth|Cream|Flour|Olive|Olive oil|Oil|Butter|Lemon|Vermouth|Leek|Agaricus bisporus|Mushroom|Carrot|Pea,809.2462901750001,46.12729737958334,37.39943815541667,57.04072698958335
Make-Ahead Detox Turkey Soup Recipe,https://www.edamam.com/web-img/146/1462fa0aac6d312b6d761e2e8c051c3b.jpg,Celery|Turkey as food|Meat|Bay leaf|Olive oil|Oil|Salt|Leek|Juice|Lemon|Leaf vegetable|Black pepper|Garlic|Clove|Dill|Kosher salt|Chard|Olive|Parsley|Chicken as food,286.02157400000004,11.511666239999998,22.104761049999993,25.147802610000003
Chicken Or Turkey Pot Pie,https://www.edamam.com/web-img/893/893d1bf0f5a66a8d0fe55fbee85db846.jpg,Apple cider|Cider|Apple|Margarine|Rosemary|Flaky pastry|Pastry|Milk|Glaze (cooking technique)|Broth|Chicken as food|Flour|Salt|Black pepper|Carrot|Egg as food|Yolk|Turkey as food|Butter|Meat|Wine|Water|Pea|Parsley,313.710232533407,15.416149622638352,20.069356736293816,23.23536453934656
The Secret Ingredient (Cranberry): Cranberry Chutney with Orange and Crystallized Ginger Recipe,https://www.edamam.com/web-img/371/3713677e59b61ec8543f90aed579b14f.jpg,Orange (fruit)|Salt|Zest (ingredient)|Cranberry|Water|Sugar|Ginger|Orange juice|Juice,200.03359191244107,0.17520689018723795,51.660362963736375,0.7416019205615828
Grilled Cod With Pancetta And Pea Mash,https://www.edamam.com/web-img/bef/bef02870dc63fa5d4482fcdee8a4a2f6.jpg,Milk|Lemon|Black pepper|Chili pepper|Sea salt|Salt|Butter|Pancetta|Oil|Olive oil|Potato|Fillet (cut)|Cod|Mentha|Pea|Olive,239.7362921,10.320331745999999,16.848078545,20.553528669
Grilled Cod With Caponata,https://www.edamam.com/web-img/084/084ea9985b5832fac47093fd87ea816b.jpg,Vinegar|Caper|Eggplant|Cod|Steak|Onion|Bell pepper|Black pepper|Olive|Oil|Olive oil|Garlic|Lemon|Juice|Oregano|Salt|Tomato|Tomato sauce|Raisin|Orange (fruit),377.05725000000007,15.299773749999998,32.643323124999995,30.6251075
Salt Cod And Potato Spread,https://www.edamam.com/web-img/1a4/1a4ba66f6afd3a705925a9d0af6d530b.jpg,Olive|Toast|Salt|Garlic|Potato|Walnut|Fillet (cut)|Black pepper|Boiled egg|Parsley|Egg as food|Bread|Lemon|Juice|Cod|Dried and salted cod|Olive oil,368.16521272400365,31.326326318875818,9.019804258669524,13.61343469923065
Grilled Cod Tacos with Chipotle Crema,https://www.edamam.com/web-img/bb2/bb2cbdb3baa35409f05ab7f79a063bb0.jpg,Adobo|Yogurt|Kosher salt|Cod|Lime (fruit)|Coriander|Salt|Wine|Chili pepper|Chili powder|Black pepper|Tortilla|Corn tortilla|Maize|Honey|Cumin|Old Bay Seasoning|Seasoning|Chipotle|Cabbage|Red cabbage|Vinegar|Avocado|Olive|Oil|Olive oil|Juice|Zest (ingredient),447.453671393048,24.270384696321507,35.045061829597714,26.040397377495044
Grilled Black Cod with Fried Garlic and Chiles,https://www.edamam.com/web-img/338/3388c68963492ff6e05b88ec1800df60.jpg,Olive|Olive oil|Oil|Cod|Fillet (cut)|Capsicum|Black pepper|Parsley|Clove|Kosher salt|Salt|Garlic|Chili pepper,303.50190055208344,15.009073537031249,1.9774200000000002,38.24785551421875
Brussels Sprouts with Honey-Glazed Pearl Onions and Capocollo,https://www.edamam.com/web-img/2bf/2bfc4a2dcfee8b44f2e199cc914d26dd.jpg,Cooking spray|Water|Honey|Salt|Kosher salt|Black pepper|Ham|Capocollo|Brussels sprout|Onion,106.18318382163628,4.864006015641408,14.092495677592794,3.718197519247602
